DATE,Sales,Year,Month,profit_margin
01-01-1992,1509,1992,1,226.35
02-01-1992,1541,1992,1,231.15
03-01-1992,1597,1992,1,239.55
04-01-1992,1675,1992,1,251.25
05-01-1992,1822,1992,1,273.3
06-01-1992,1775,1992,1,266.25
07-01-1992,1912,1992,1,286.8
08-01-1992,1862,1992,1,279.3
09-01-1992,1770,1992,1,265.5
10-01-1992,1882,1992,1,282.3
11-01-1992,1831,1992,1,274.65
12-01-1992,2511,1992,1,376.65
01-01-1993,1614,1993,1,242.1
02-01-1993,1529,1993,1,229.35
03-01-1993,1678,1993,1,251.7
04-01-1993,1713,1993,1,256.95
05-01-1993,1796,1993,1,269.4
06-01-1993,1792,1993,1,268.8
07-01-1993,1950,1993,1,292.5
08-01-1993,1777,1993,1,266.55
09-01-1993,1707,1993,1,256.05
10-01-1993,1757,1993,1,263.55
11-01-1993,1782,1993,1,267.3
12-01-1993,2443,1993,1,366.45
01-01-1994,1548,1994,1,232.2
02-01-1994,1505,1994,1,225.75
03-01-1994,1714,1994,1,257.1
04-01-1994,1757,1994,1,263.55
05-01-1994,1830,1994,1,274.5
06-01-1994,1857,1994,1,278.55
07-01-1994,1981,1994,1,297.15
08-01-1994,1858,1994,1,278.7
09-01-1994,1823,1994,1,273.45
10-01-1994,1806,1994,1,270.9
11-01-1994,1845,1994,1,276.75
12-01-1994,2577,1994,1,386.55
01-01-1995,1555,1995,1,233.25
02-01-1995,1501,1995,1,225.15
03-01-1995,1725,1995,1,258.75
04-01-1995,1699,1995,1,254.85
05-01-1995,1807,1995,1,271.05
06-01-1995,1863,1995,1,279.45
07-01-1995,1886,1995,1,282.9
08-01-1995,1861,1995,1,279.15
09-01-1995,1845,1995,1,276.75
10-01-1995,1788,1995,1,268.2
11-01-1995,1879,1995,1,281.85
12-01-1995,2598,1995,1,389.7
01-01-1996,1679,1996,1,251.85
02-01-1996,1652,1996,1,247.8
03-01-1996,1837,1996,1,275.55
04-01-1996,1798,1996,1,269.7
05-01-1996,1957,1996,1,293.55
06-01-1996,1958,1996,1,293.7
07-01-1996,2034,1996,1,305.1
08-01-1996,2062,1996,1,309.3
09-01-1996,1781,1996,1,267.15
10-01-1996,1860,1996,1,279
11-01-1996,1992,1996,1,298.8
12-01-1996,2547,1996,1,382.05
01-01-1997,1706,1997,1,255.9
02-01-1997,1621,1997,1,243.15
03-01-1997,1853,1997,1,277.95
04-01-1997,1817,1997,1,272.55
05-01-1997,2060,1997,1,309
06-01-1997,2002,1997,1,300.3
07-01-1997,2098,1997,1,314.7
08-01-1997,2079,1997,1,311.85
09-01-1997,1892,1997,1,283.8
10-01-1997,2050,1997,1,307.5
11-01-1997,2082,1997,1,312.3
12-01-1997,2821,1997,1,423.15
01-01-1998,1846,1998,1,276.9
02-01-1998,1768,1998,1,265.2
03-01-1998,1894,1998,1,284.1
04-01-1998,1963,1998,1,294.45
05-01-1998,2140,1998,1,321
06-01-1998,2059,1998,1,308.85
07-01-1998,2209,1998,1,331.35
08-01-1998,2118,1998,1,317.7
09-01-1998,2031,1998,1,304.65
10-01-1998,2163,1998,1,324.45
11-01-1998,2154,1998,1,323.1
12-01-1998,3037,1998,1,455.55
01-01-1999,1866,1999,1,279.9
02-01-1999,1808,1999,1,271.2
03-01-1999,1986,1999,1,297.9
04-01-1999,2099,1999,1,314.85
05-01-1999,2210,1999,1,331.5
06-01-1999,2145,1999,1,321.75
07-01-1999,2339,1999,1,350.85
08-01-1999,2140,1999,1,321
09-01-1999,2126,1999,1,318.9
10-01-1999,2219,1999,1,332.85
11-01-1999,2273,1999,1,340.95
12-01-1999,3265,1999,1,489.75
01-01-2000,1920,2000,1,288
02-01-2000,1976,2000,1,296.4
03-01-2000,2190,2000,1,328.5
04-01-2000,2132,2000,1,319.8
05-01-2000,2357,2000,1,353.55
06-01-2000,2413,2000,1,361.95
07-01-2000,2463,2000,1,369.45
08-01-2000,2422,2000,1,363.3
09-01-2000,2358,2000,1,353.7
10-01-2000,2352,2000,1,352.8
11-01-2000,2549,2000,1,382.35
12-01-2000,3375,2000,1,506.25
01-01-2001,2109,2001,1,316.35
02-01-2001,2052,2001,1,307.8
03-01-2001,2327,2001,1,349.05
04-01-2001,2231,2001,1,334.65
05-01-2001,2470,2001,1,370.5
06-01-2001,2526,2001,1,378.9
07-01-2001,2483,2001,1,372.45
08-01-2001,2518,2001,1,377.7
09-01-2001,2316,2001,1,347.4
10-01-2001,2409,2001,1,361.35
11-01-2001,2638,2001,1,395.7
12-01-2001,3542,2001,1,531.3
01-01-2002,2114,2002,1,317.1
02-01-2002,2109,2002,1,316.35
03-01-2002,2366,2002,1,354.9
04-01-2002,2300,2002,1,345
05-01-2002,2569,2002,1,385.35
06-01-2002,2486,2002,1,372.9
07-01-2002,2568,2002,1,385.2
08-01-2002,2595,2002,1,389.25
09-01-2002,2297,2002,1,344.55
10-01-2002,2401,2002,1,360.15
11-01-2002,2601,2002,1,390.15
12-01-2002,3488,2002,1,523.2
01-01-2003,2121,2003,1,318.15
02-01-2003,2046,2003,1,306.9
03-01-2003,2273,2003,1,340.95
04-01-2003,2333,2003,1,349.95
05-01-2003,2576,2003,1,386.4
06-01-2003,2433,2003,1,364.95
07-01-2003,2611,2003,1,391.65
08-01-2003,2660,2003,1,399
09-01-2003,2461,2003,1,369.15
10-01-2003,2641,2003,1,396.15
11-01-2003,2660,2003,1,399
12-01-2003,3654,2003,1,548.1
01-01-2004,2293,2004,1,343.95
02-01-2004,2219,2004,1,332.85
03-01-2004,2398,2004,1,359.7
04-01-2004,2553,2004,1,382.95
05-01-2004,2685,2004,1,402.75
06-01-2004,2643,2004,1,396.45
07-01-2004,2867,2004,1,430.05
08-01-2004,2622,2004,1,393.3
09-01-2004,2618,2004,1,392.7
10-01-2004,2727,2004,1,409.05
11-01-2004,2763,2004,1,414.45
12-01-2004,3801,2004,1,570.15
01-01-2005,2219,2005,1,332.85
02-01-2005,2316,2005,1,347.4
03-01-2005,2530,2005,1,379.5
04-01-2005,2640,2005,1,396
05-01-2005,2709,2005,1,406.35
06-01-2005,2783,2005,1,417.45
07-01-2005,2924,2005,1,438.6
08-01-2005,2791,2005,1,418.65
09-01-2005,2784,2005,1,417.6
10-01-2005,2801,2005,1,420.15
11-01-2005,2933,2005,1,439.95
12-01-2005,4137,2005,1,620.55
01-01-2006,2424,2006,1,363.6
02-01-2006,2519,2006,1,377.85
03-01-2006,2753,2006,1,412.95
04-01-2006,2791,2006,1,418.65
05-01-2006,3017,2006,1,452.55
06-01-2006,3055,2006,1,458.25
07-01-2006,3117,2006,1,467.55
08-01-2006,3024,2006,1,453.6
09-01-2006,2997,2006,1,449.55
10-01-2006,2913,2006,1,436.95
11-01-2006,3137,2006,1,470.55
12-01-2006,4269,2006,1,640.35
01-01-2007,2569,2007,1,385.35
02-01-2007,2603,2007,1,390.45
03-01-2007,3005,2007,1,450.75
04-01-2007,2867,2007,1,430.05
05-01-2007,3262,2007,1,489.3
06-01-2007,3364,2007,1,504.6
07-01-2007,3322,2007,1,498.3
08-01-2007,3292,2007,1,493.8
09-01-2007,3057,2007,1,458.55
10-01-2007,3087,2007,1,463.05
11-01-2007,3297,2007,1,494.55
12-01-2007,4403,2007,1,660.45
01-01-2008,2675,2008,1,401.25
02-01-2008,2806,2008,1,420.9
03-01-2008,2989,2008,1,448.35
04-01-2008,2997,2008,1,449.55
05-01-2008,3420,2008,1,513
06-01-2008,3279,2008,1,491.85
07-01-2008,3517,2008,1,527.55
08-01-2008,3472,2008,1,520.8
09-01-2008,3151,2008,1,472.65
10-01-2008,3351,2008,1,502.65
11-01-2008,3386,2008,1,507.9
12-01-2008,4461,2008,1,669.15
01-01-2009,2913,2009,1,436.95
02-01-2009,2781,2009,1,417.15
03-01-2009,3024,2009,1,453.6
04-01-2009,3130,2009,1,469.5
05-01-2009,3467,2009,1,520.05
06-01-2009,3307,2009,1,496.05
07-01-2009,3555,2009,1,533.25
08-01-2009,3399,2009,1,509.85
09-01-2009,3263,2009,1,489.45
10-01-2009,3425,2009,1,513.75
11-01-2009,3356,2009,1,503.4
12-01-2009,4625,2009,1,693.75
01-01-2010,2878,2010,1,431.7
02-01-2010,2916,2010,1,437.4
03-01-2010,3214,2010,1,482.1
04-01-2010,3310,2010,1,496.5
05-01-2010,3467,2010,1,520.05
06-01-2010,3438,2010,1,515.7
07-01-2010,3657,2010,1,548.55
08-01-2010,3454,2010,1,518.1
09-01-2010,3365,2010,1,504.75
